year,sp500_us_total_return,portfolio_100_0_synthetic,portfolio_70_30_synthetic,portfolio_50_50_synthetic,portfolio_30_70_synthetic,portfolio_15_85_synthetic,balanced_60_40_synthetic,conservative_40_60_synthetic,months_observed,source
1871,0.13471213,0.13471213,0.10329849,0.08235607,0.06141364,0.04570682,0.09282728,0.07188485,11,"S&P series (datasets/s-and-p-500, Shiller-based)"
1872,0.13110942,0.13110942,0.10077660,0.08055471,0.06033283,0.04516641,0.09066565,0.07044377,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1873,-0.06858845,-0.06858845,-0.03901191,-0.01929422,0.00042347,0.01521173,-0.02915307,-0.00943538,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1874,0.10386570,0.10386570,0.08170599,0.06693285,0.05215971,0.04107986,0.07431942,0.05954628,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1875,0.03260211,0.03260211,0.03182148,0.03130106,0.03078063,0.03039032,0.03156127,0.03104085,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1876,-0.11769119,-0.11769119,-0.07338383,-0.04384559,-0.01430736,0.00784632,-0.05861471,-0.02907647,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1877,-0.01985358,-0.01985358,-0.00489751,0.00507321,0.01504392,0.02252196,0.00008785,0.01005857,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1878,0.12089506,0.12089506,0.09362654,0.07544753,0.05726852,0.04363426,0.08453703,0.06635802,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1879,0.49405085,0.49405085,0.35483559,0.26202542,0.16921525,0.09960763,0.30843051,0.21562034,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1880,0.24109828,0.24109828,0.17776880,0.13554914,0.09332948,0.06166474,0.15665897,0.11443931,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1881,0.07833410,0.07833410,0.06383387,0.05416705,0.04450023,0.03725011,0.05900046,0.04933364,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1882,0.02579511,0.02579511,0.02705658,0.02789756,0.02873853,0.02936927,0.02747707,0.02831805,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1883,-0.03137503,-0.03137503,-0.01296252,-0.00068752,0.01158749,0.02079374,-0.00682502,0.00544999,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1884,-0.13057590,-0.13057590,-0.08240313,-0.05028795,-0.01817277,0.00591362,-0.06634554,-0.03423036,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1885,0.27186708,0.27186708,0.19930695,0.15093354,0.10256012,0.06628006,0.17512025,0.12674683,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
